health,stamina,x,y,z,action,key_press
4,34,260.23,175.99,362.18,attack,left_click
34,75,-287.05,93.81,206.76,move_forward,w
9,57,-50.94,200.45,-295.7,move_backward,s
73,40,308.07,-93.31,-249.47,move_backward,s
49,80,-122.18,-200.11,60.15,move_forward,w
83,75,262.56,-177.45,271.74,move_right,d
27,99,202.99,368.1,428.33,move_left,a
6,80,455.72,-463.81,350.78,move_backward,s
65,76,311.32,-187.95,-163.5,move_left,a
67,76,-25.96,-419.56,317.59,move_right,d
50,40,326.32,-495.05,-433.3,attack,left_click
26,35,-272.29,-137.99,300.56,move_right,d
59,16,168.77,-31.67,428.12,move_forward,w
81,7,401.61,-202.98,291.07,attack,left_click
98,97,138.52,399.19,-388.26,move_forward,w
94,34,-20.75,2.54,-95.38,dodge,space
23,41,-51.87,-112.43,-458.06,move_backward,s
24,98,48.12,100.99,-303.17,move_backward,s
87,56,-210.71,-289.98,-58.84,move_right,d
1,37,400.7,277.03,302.43,attack,left_click
76,91,77.43,328.63,332.31,move_right,d
92,69,-493.72,238.97,249.2,move_forward,w
45,61,-421.47,452.05,-499.19,move_left,a
5,84,498.37,477.38,-149.05,move_forward,w
52,46,31.33,-192.16,130.66,move_right,d
25,0,422.24,349.08,119.03,move_left,a
93,8,-362.3,486.24,467.13,move_left,a
58,93,-348.42,-488.04,218.59,attack,left_click
72,77,394.02,-437.42,466.92,move_forward,w
99,23,247.59,-20.61,-36.16,attack,left_click
1,73,-479.79,-0.8,7.0,move_left,a
7,5,350.66,429.76,476.99,dodge,space
57,78,412.13,491.76,196.47,move_forward,w
33,4,6.49,330.41,295.3,move_left,a
62,72,187.04,394.74,-422.24,move_left,a
74,82,-438.22,-323.16,159.9,move_left,a
30,41,135.46,-86.73,126.45,move_right,d
0,17,425.23,-497.82,71.45,move_backward,s
100,50,-328.02,327.76,159.32,move_backward,s
14,40,57.26,272.07,-430.47,attack,left_click
95,68,-30.44,74.36,50.27,move_forward,w
75,1,202.15,450.85,-380.06,move_backward,s
81,35,-394.97,314.12,-326.33,move_forward,w
17,91,-369.03,-265.25,163.36,attack,left_click
56,68,201.95,-40.95,289.69,move_right,d
19,6,422.19,401.35,259.67,move_backward,s
48,28,-231.52,-233.04,54.49,move_right,d
75,36,368.09,226.98,-210.83,dodge,space
2,83,387.83,-345.28,76.76,attack,left_click
82,7,-221.8,-137.59,345.01,attack,left_click
61,42,-124.8,-326.12,-133.12,dodge,space
30,39,-498.53,56.51,-259.15,attack,left_click
22,45,302.13,118.84,314.65,move_left,a
39,60,327.19,408.08,29.39,move_right,d
49,99,128.3,221.85,472.62,move_left,a
3,91,-260.1,-463.92,79.8,move_left,a
48,56,-254.0,-259.29,-464.93,move_forward,w
75,97,496.66,216.99,280.84,move_right,d
36,56,494.68,-362.14,169.24,move_right,d
74,6,-178.93,-404.85,241.61,move_backward,s
99,25,-374.63,-419.05,-287.5,move_right,d
36,60,190.18,-316.14,-408.08,move_forward,w
32,43,-369.37,177.01,469.96,move_left,a
2,65,-163.64,168.45,-96.47,dodge,space
54,91,-93.84,-178.81,-263.36,dodge,space
88,85,340.35,-256.93,-468.18,move_forward,w
4,11,-487.86,-190.96,241.79,attack,left_click
4,28,356.04,-466.8,-493.27,move_forward,w
85,86,-33.68,-442.22,487.8,move_right,d
61,13,-102.2,-95.95,-147.28,move_right,d
20,27,-243.42,-97.51,-412.79,dodge,space
24,42,-75.3,462.94,-331.83,dodge,space
44,24,-351.08,-345.21,488.53,move_left,a
85,40,-113.72,-435.22,-69.25,move_left,a
60,2,-314.31,-390.68,89.57,move_forward,w
61,0,94.43,132.21,-137.6,dodge,space
62,21,-204.77,449.49,35.95,attack,left_click
74,9,-330.33,331.31,333.45,attack,left_click
64,48,292.81,91.42,-252.8,move_backward,s
54,63,353.09,-353.23,353.67,attack,left_click
17,34,-147.5,-249.31,237.51,dodge,space
44,83,362.1,-425.87,-260.53,move_left,a
8,68,195.18,387.67,204.56,attack,left_click
39,75,356.87,-129.78,346.58,move_forward,w
26,56,-214.03,-273.17,-344.15,move_left,a
78,97,-269.13,280.59,-425.47,move_forward,w
99,79,-334.62,327.1,-244.02,move_backward,s
45,46,147.03,-152.54,-126.22,move_right,d
56,1,466.27,-164.46,261.86,dodge,space
58,62,-489.38,299.38,316.07,move_forward,w
73,81,346.3,447.97,-48.48,move_right,d
14,11,-208.99,-423.86,40.12,move_right,d
12,95,126.21,349.17,323.93,move_left,a
99,22,319.18,440.73,85.11,move_right,d
50,32,-79.66,186.39,-126.62,attack,left_click
32,43,83.85,-193.54,404.46,move_left,a
51,4,134.37,281.79,-423.97,move_left,a
5,89,-317.87,-207.37,-374.08,dodge,space
17,48,25.69,218.78,101.32,move_forward,w
20,3,25.5,255.39,-195.91,move_left,a
57,66,-293.64,-395.42,-56.97,move_forward,w
12,80,-99.42,-143.66,-302.11,move_forward,w
99,36,-59.7,-383.1,232.87,move_left,a
85,73,-229.64,54.74,-156.16,move_right,d
32,6,22.46,470.72,278.83,move_left,a
15,69,-297.3,462.16,-19.22,dodge,space
8,72,35.37,29.37,257.46,attack,left_click
50,96,-198.72,356.62,471.73,move_backward,s
38,1,44.7,159.16,444.76,dodge,space
55,88,370.77,-276.91,-186.23,move_backward,s
12,16,285.3,99.9,-83.56,move_right,d
65,94,421.81,-482.34,-453.17,move_left,a
52,32,-88.57,-286.63,-141.78,dodge,space
86,74,210.67,-349.7,244.21,move_right,d
8,10,475.87,90.93,217.65,move_right,d
8,67,-86.1,113.91,22.03,move_forward,w
44,33,-339.08,381.38,355.43,attack,left_click
94,84,-234.64,84.32,222.11,move_left,a
92,87,-257.75,250.52,487.7,move_forward,w
48,61,-86.21,148.94,384.2,attack,left_click
86,63,-164.55,-17.49,449.7,move_forward,w
32,32,-256.96,263.6,-18.64,move_right,d
77,60,-209.62,-440.65,181.43,dodge,space
25,96,-366.65,-222.25,133.3,dodge,space
6,78,-427.06,319.75,-165.1,attack,left_click
35,37,460.97,-153.71,-286.31,move_forward,w
48,68,-314.89,-107.12,-269.21,move_right,d
94,2,-131.69,-463.51,101.32,move_left,a
36,6,-97.73,-424.54,-390.41,attack,left_click
17,26,150.96,397.78,396.99,dodge,space
16,71,-235.16,266.2,347.17,move_right,d
65,32,-16.3,491.24,-380.89,move_left,a
78,3,376.56,187.15,-30.22,attack,left_click
77,28,-335.86,-410.89,90.7,move_forward,w
30,81,166.5,37.2,456.87,move_left,a
74,30,132.45,-349.1,-274.91,dodge,space
15,80,213.95,374.88,264.55,move_forward,w
88,13,-31.7,-138.92,-78.23,dodge,space
26,41,27.89,-161.41,-309.5,attack,left_click
75,25,9.61,465.99,-380.19,move_right,d
40,74,-491.81,229.89,18.47,move_backward,s
80,33,292.68,-367.89,-197.9,dodge,space
77,47,317.73,287.46,-441.42,move_backward,s
91,62,-289.85,-215.95,-121.89,move_backward,s
54,40,-81.36,286.21,-316.47,attack,left_click
29,52,28.88,-303.14,380.75,dodge,space
12,47,464.79,-301.89,-59.71,move_backward,s
80,33,-29.09,-108.16,486.05,attack,left_click
96,74,-469.69,-151.34,-406.0,move_left,a
90,71,-482.87,-322.7,104.61,attack,left_click
19,10,-438.53,-319.06,-300.45,move_backward,s
85,66,97.69,-172.64,-133.15,move_forward,w
66,55,471.84,488.87,176.8,move_right,d
50,80,-330.44,-335.24,264.38,dodge,space
74,36,481.56,469.55,-144.47,move_right,d
29,56,427.02,107.98,-247.22,move_left,a
40,51,297.07,-33.16,-211.71,attack,left_click
22,47,12.32,-225.96,-300.02,move_right,d
67,4,155.2,119.11,-166.63,dodge,space
92,92,147.62,287.75,-114.65,attack,left_click
5,36,-1.78,-95.65,330.89,move_forward,w
96,44,-493.49,-448.71,432.6,move_right,d
34,40,318.1,-14.52,338.43,move_right,d
23,59,-175.66,-306.02,117.96,move_right,d
5,33,9.67,-38.17,398.32,dodge,space
50,83,375.35,80.84,381.31,move_forward,w
100,99,-350.55,386.74,-259.54,dodge,space
26,75,27.18,-463.7,-297.16,attack,left_click
67,94,-2.76,294.66,-245.34,dodge,space
9,0,-39.07,104.36,-1.24,move_left,a
88,8,-37.3,236.03,65.39,move_forward,w
1,97,464.47,1.24,312.52,move_right,d
29,37,244.13,-283.73,-376.88,dodge,space
27,19,262.32,-155.63,221.22,move_left,a
30,69,-407.57,363.27,-127.51,move_left,a
85,31,-398.21,359.55,425.02,move_right,d
56,46,164.87,229.21,65.22,attack,left_click
62,73,-362.53,-132.25,-220.45,attack,left_click
4,47,354.15,-281.14,468.1,attack,left_click
6,48,-108.54,-386.53,160.76,move_backward,s
72,90,408.33,-102.8,405.51,move_forward,w
53,16,-1.26,190.43,467.3,dodge,space
80,0,-429.14,25.71,-414.41,move_forward,w
24,82,-139.98,-410.61,-67.72,move_left,a
70,79,-0.35,467.64,44.19,attack,left_click
38,6,-237.27,-498.44,270.93,attack,left_click
25,85,498.89,187.15,-371.71,move_right,d
51,53,-348.06,249.88,-326.76,move_left,a
33,100,-313.74,-464.98,75.38,move_forward,w
36,66,-91.11,-366.24,-204.23,move_left,a
61,88,-351.8,10.48,185.55,move_left,a
52,100,-211.36,99.91,182.91,move_left,a
33,42,-254.18,356.86,-62.21,attack,left_click
49,83,401.43,-489.14,169.61,move_left,a
57,89,14.1,-292.59,-464.4,move_right,d
56,85,-274.89,-337.19,-276.59,move_backward,s
5,63,366.49,-107.08,203.94,move_forward,w
34,45,43.53,55.4,-254.4,dodge,space
49,81,160.1,-458.85,-101.66,move_backward,s
48,78,-195.83,12.14,-136.06,dodge,space
79,39,-326.33,159.76,-368.59,dodge,space
36,3,-343.88,31.18,-90.48,move_left,a
2,51,-448.15,239.68,268.99,move_right,d
99,52,466.8,-450.7,493.9,dodge,space
68,75,475.19,365.64,-317.04,move_left,a
83,70,-150.95,-190.81,414.36,move_backward,s
16,66,-252.22,239.65,400.5,move_forward,w
84,91,79.0,-196.43,-126.3,move_forward,w
51,63,-151.42,113.51,283.08,move_forward,w
87,48,309.04,-394.14,30.77,move_forward,w
44,95,-303.81,85.85,24.96,dodge,space
39,85,-497.1,374.4,159.4,move_right,d
51,59,-477.5,134.29,-378.24,dodge,space
46,51,-352.17,-227.43,-294.76,dodge,space
82,91,50.29,-254.41,-239.79,move_right,d
15,29,-231.82,352.92,306.95,move_backward,s
19,97,178.58,-341.78,-212.89,move_backward,s
51,92,206.13,331.41,-58.66,move_right,d
0,75,485.65,442.41,19.65,move_backward,s
17,19,-386.16,254.17,-131.92,dodge,space
22,91,-304.09,483.51,-281.04,attack,left_click
40,7,-41.73,-4.48,406.2,dodge,space
8,59,49.16,-184.52,273.87,dodge,space
47,65,303.99,351.41,175.83,move_forward,w
68,77,-196.11,366.89,154.73,move_backward,s
40,75,-163.25,372.05,-246.72,move_backward,s
8,44,-132.0,125.15,-216.85,move_right,d
94,70,409.52,197.99,441.69,attack,left_click
15,4,184.15,-9.1,-240.36,move_backward,s
36,2,94.95,-357.4,-164.18,move_right,d
55,11,73.53,-238.6,-430.74,move_right,d
78,28,283.0,187.36,-468.45,move_right,d
70,65,9.35,-91.29,477.65,attack,left_click
47,0,-95.22,492.92,35.33,dodge,space
37,64,-291.97,311.38,-43.43,dodge,space
7,43,160.34,44.41,297.62,dodge,space
62,84,423.04,-305.67,-296.19,dodge,space
59,53,-1.45,-43.35,362.45,move_right,d
69,78,-20.98,277.82,165.46,move_forward,w
11,87,-151.33,480.86,8.25,dodge,space
19,73,-281.09,139.03,259.37,move_right,d
22,95,-247.73,-44.33,367.53,move_right,d
4,34,-416.39,-113.04,-135.8,move_left,a
5,3,249.47,149.31,3.27,move_right,d
40,84,214.67,172.36,-314.73,move_forward,w
23,41,-268.81,-381.11,413.05,attack,left_click
23,81,394.14,127.98,-238.62,move_left,a
17,94,30.9,422.89,-411.42,dodge,space
0,12,-324.89,276.3,-131.63,move_right,d
9,33,63.5,-79.77,128.34,attack,left_click
68,22,385.42,102.8,154.55,move_forward,w
95,39,-22.86,-485.58,-345.08,move_backward,s
67,63,50.12,-377.41,242.11,dodge,space
1,52,-277.75,69.09,296.61,move_left,a
80,25,316.83,321.52,-290.47,dodge,space
39,99,-50.49,-407.4,25.24,move_forward,w
93,46,417.81,297.17,-204.42,attack,left_click
55,98,361.37,-185.86,36.79,move_backward,s
98,41,291.02,-235.5,150.24,attack,left_click
2,14,477.18,226.25,437.86,move_right,d
51,29,194.35,-300.67,-124.42,move_backward,s
98,68,29.36,-330.94,110.98,attack,left_click
12,13,379.42,64.66,-295.84,move_right,d
29,10,-43.13,349.99,423.87,attack,left_click
49,23,471.31,343.05,-250.91,attack,left_click
94,18,308.6,-220.96,455.54,move_backward,s
34,23,-398.88,79.41,-354.03,move_left,a
3,73,27.89,-107.78,431.03,attack,left_click
53,2,307.42,375.35,-138.03,move_forward,w
98,46,54.41,464.52,-251.97,move_backward,s
15,34,140.59,357.93,124.88,dodge,space
93,33,393.8,-195.67,-425.42,attack,left_click
54,55,27.68,12.01,47.47,move_forward,w
97,96,115.27,55.18,25.5,attack,left_click
41,33,16.13,-229.87,-316.85,dodge,space
40,24,236.9,-427.63,-173.77,move_forward,w
42,80,-64.38,351.73,-3.93,move_left,a
86,40,180.88,-116.77,221.11,move_forward,w
52,45,-276.2,37.07,75.99,move_forward,w
63,53,-439.55,-346.05,-79.39,attack,left_click
73,34,-415.44,224.25,-417.11,dodge,space
48,15,-60.55,418.48,440.93,move_forward,w
44,5,380.87,-215.89,-52.85,move_left,a
46,2,226.64,188.19,-335.79,move_left,a
34,13,455.14,-54.53,-138.52,move_backward,s
6,71,25.64,163.96,-216.95,move_right,d
68,95,367.66,-495.98,-260.06,move_forward,w
86,31,33.78,-277.52,-214.02,move_backward,s
61,77,-493.97,-72.43,-77.4,move_right,d
50,0,253.87,-378.7,-62.67,attack,left_click
56,19,-241.29,466.31,-289.8,dodge,space
76,30,90.43,178.31,49.55,dodge,space
84,97,94.94,-426.52,-37.66,attack,left_click
87,22,-352.84,-488.3,45.12,move_left,a
40,77,-228.31,-95.7,267.2,move_right,d
9,50,-160.36,87.06,-71.94,move_backward,s
16,2,-118.43,-311.49,372.22,move_right,d
38,89,-453.83,191.71,65.33,move_forward,w
51,35,213.9,440.55,-142.95,move_left,a
93,44,176.23,412.72,-291.14,dodge,space
82,58,416.76,412.71,-358.93,attack,left_click
23,24,-255.1,-257.68,-368.4,dodge,space
28,73,-9.49,-46.53,-90.74,move_left,a
33,78,274.23,-103.24,131.75,move_backward,s
45,41,474.02,-92.33,-39.75,move_forward,w
86,90,-308.73,-474.51,-99.79,move_backward,s
26,82,222.29,67.54,115.59,dodge,space
63,15,441.92,-467.08,-376.27,move_right,d
22,49,119.85,404.8,-117.31,move_backward,s
16,100,-266.39,-87.45,-295.66,dodge,space
89,41,-104.51,269.73,78.53,move_right,d
15,64,-191.4,322.53,-91.29,attack,left_click
37,19,358.97,495.31,-66.86,move_forward,w
95,85,58.64,-331.0,-324.12,move_backward,s
50,7,180.35,184.62,-439.39,move_right,d
63,70,118.76,-169.46,485.23,dodge,space
77,78,227.28,229.08,-34.9,move_forward,w
15,51,-261.93,-405.61,-39.07,move_right,d
8,2,466.27,-167.89,36.41,move_backward,s
94,80,62.88,-146.84,-338.26,move_left,a
46,94,-193.28,463.41,-284.82,dodge,space
76,95,-473.98,57.42,-115.96,move_backward,s
15,96,-308.21,381.55,-21.16,move_backward,s
76,51,-426.97,287.28,-411.52,move_backward,s
22,37,227.19,472.62,-302.89,move_right,d
4,23,256.14,158.69,354.71,attack,left_click
16,75,-148.35,-315.76,-22.54,move_forward,w
22,94,-310.62,-337.47,134.76,move_backward,s
44,3,-415.05,-21.47,304.9,move_backward,s
40,12,460.58,65.15,397.88,move_right,d
72,59,-56.49,-438.24,-447.83,dodge,space
72,60,-250.36,269.18,-174.15,move_left,a
60,17,-487.02,-268.15,-308.24,dodge,space
37,63,-394.35,-407.91,405.72,move_backward,s
47,69,462.36,4.06,288.01,attack,left_click
53,98,481.63,458.37,448.94,dodge,space
67,15,430.67,116.08,326.85,move_forward,w
79,98,168.44,158.85,449.37,move_right,d
88,33,318.04,-306.6,55.62,attack,left_click
85,51,-267.66,-74.13,-126.01,dodge,space
71,26,-301.19,-114.27,-491.22,move_forward,w
42,45,260.16,482.47,98.06,dodge,space
83,92,-55.23,-420.02,452.62,move_right,d
1,49,-326.8,-310.62,383.39,attack,left_click
50,97,33.79,-270.1,319.52,move_left,a
41,97,228.29,213.06,-20.77,attack,left_click
66,34,399.77,-390.89,-59.19,move_right,d
70,61,118.51,55.86,60.74,move_backward,s
40,60,-327.49,-382.43,-97.53,dodge,space
92,58,-220.59,-320.2,179.18,dodge,space
47,86,372.62,460.8,265.97,move_right,d
34,57,-43.68,357.34,-233.56,move_right,d
6,66,-112.75,218.03,315.05,move_left,a
6,93,124.62,-139.41,-344.07,move_backward,s
26,58,-314.4,-351.72,-180.96,attack,left_click
29,9,-396.55,336.57,45.56,move_forward,w
82,23,-340.6,-417.76,-389.07,move_right,d
50,16,-381.0,-109.62,-119.25,dodge,space
77,72,-382.56,-32.91,-420.64,move_left,a
33,41,425.43,142.25,396.01,move_backward,s
20,45,-164.41,-351.69,-458.04,move_backward,s
32,31,-447.5,338.24,147.23,move_forward,w
57,68,46.6,-170.01,-484.74,move_backward,s
39,66,-336.52,-227.18,425.17,move_forward,w
91,90,-466.26,-48.37,-472.45,attack,left_click
27,90,117.11,483.43,413.84,attack,left_click
25,57,-319.01,-188.32,220.41,move_forward,w
3,26,-254.24,284.48,53.51,move_backward,s
49,65,-473.86,-108.53,-411.61,dodge,space
50,37,-163.69,-296.25,237.73,move_forward,w
8,88,-336.99,-99.99,-344.09,move_right,d
79,88,56.82,-212.57,-84.98,move_backward,s
29,84,205.47,-485.53,-397.82,move_backward,s
7,57,-289.39,-249.94,-435.81,attack,left_click
97,56,309.55,160.29,145.48,move_left,a
58,14,-235.84,493.8,256.92,move_backward,s
91,23,-228.9,400.37,199.59,move_left,a
73,28,178.4,154.9,49.72,move_forward,w
75,81,89.22,-134.3,178.29,move_forward,w
36,87,403.53,110.03,354.41,move_forward,w
65,92,-25.0,-328.09,176.14,move_forward,w
14,86,140.78,-311.75,-277.49,move_right,d
70,98,327.52,-168.43,-261.66,move_left,a
81,43,-267.05,-405.95,-322.11,move_left,a
47,4,-415.84,-106.73,38.96,move_backward,s
39,10,-457.66,348.32,-322.12,move_right,d
43,39,-59.77,257.08,477.31,move_forward,w
67,94,67.08,-320.16,-406.73,move_forward,w
65,36,462.92,-399.15,-444.29,move_backward,s
74,75,-151.08,187.53,483.26,move_left,a
43,82,-62.58,322.69,-24.72,dodge,space
20,76,-173.68,281.49,496.47,attack,left_click
64,45,244.41,450.46,267.67,move_left,a
53,41,242.81,-391.88,478.9,dodge,space
64,62,2.41,480.11,-67.25,move_forward,w
0,64,381.5,374.93,-250.49,move_right,d
93,100,-420.47,138.88,-479.68,move_right,d
73,13,246.47,-389.85,464.16,move_left,a
32,23,186.06,400.14,-355.93,move_right,d
90,96,21.05,-106.82,-6.42,move_backward,s
36,28,-257.88,-305.42,-240.96,move_right,d
29,28,190.12,475.74,16.52,move_backward,s
78,41,-145.23,-260.89,-179.31,move_right,d
45,46,-184.18,30.42,-340.55,move_forward,w
81,83,249.02,-33.65,455.43,move_right,d
89,90,-405.1,-365.11,-145.41,move_right,d
22,11,133.53,17.3,-491.0,move_right,d
37,42,-290.57,-98.36,-206.98,dodge,space
49,12,-346.03,-190.88,290.11,attack,left_click
48,16,346.28,160.45,-32.35,move_right,d
80,79,-37.51,-327.47,313.61,move_forward,w
92,94,-254.28,316.07,390.5,move_right,d
38,45,467.82,-183.37,-415.41,move_right,d
1,88,-305.31,-455.39,457.64,move_right,d
100,59,-155.38,232.71,306.27,attack,left_click
85,60,158.96,281.75,128.49,move_backward,s
1,19,209.79,-57.31,291.45,move_backward,s
55,87,470.79,446.76,-100.41,dodge,space
82,67,-379.97,-345.64,-303.59,move_backward,s
58,3,339.87,-383.61,-242.87,move_left,a
87,52,25.65,129.56,-300.84,attack,left_click
94,7,-42.69,490.89,111.24,move_forward,w
98,26,420.52,-443.46,319.25,dodge,space
57,80,334.13,273.89,-49.13,dodge,space
46,45,-142.36,-492.0,41.39,attack,left_click
76,3,19.93,347.35,-84.0,move_forward,w
60,92,52.28,250.81,37.72,move_forward,w
52,1,-210.44,339.34,261.62,attack,left_click
13,71,27.33,-354.86,330.01,dodge,space
59,45,239.8,205.66,-466.41,move_right,d
61,55,-143.84,-56.09,211.75,move_forward,w
46,30,193.4,386.89,-169.37,move_forward,w
21,5,118.07,243.02,214.42,move_backward,s
7,9,48.05,257.96,-143.29,move_forward,w
40,68,281.3,486.07,-374.89,move_forward,w
44,32,476.72,459.75,456.16,move_left,a
5,40,-309.54,-20.66,-434.14,attack,left_click
1,80,125.6,-12.36,-352.11,move_left,a
9,62,327.28,-427.61,-215.75,move_backward,s
64,24,114.42,-296.76,-4.03,move_right,d
22,55,-380.52,240.29,104.57,dodge,space
33,38,-476.68,-341.11,-396.73,move_forward,w
15,0,464.82,89.09,101.24,move_backward,s
56,59,-250.15,296.21,57.9,move_backward,s
71,62,-482.28,-462.77,-35.52,dodge,space
27,51,-65.33,-255.5,297.45,dodge,space
37,7,13.7,-98.83,389.7,attack,left_click
59,93,336.48,494.64,-34.01,move_backward,s
50,99,-179.23,-124.3,456.53,attack,left_click
3,38,380.49,316.92,71.0,attack,left_click
3,31,-404.38,112.99,-184.61,move_left,a
16,91,151.38,396.26,-32.11,move_backward,s
41,70,-11.35,217.37,-464.89,dodge,space
22,88,332.96,-369.3,368.08,move_left,a
79,91,-67.54,-182.98,-342.27,move_backward,s
23,30,-266.12,482.98,198.29,move_backward,s
100,21,-457.68,434.81,-254.87,move_left,a
43,88,468.89,451.49,28.47,move_left,a
62,26,-250.57,-434.82,-225.17,dodge,space
28,16,-336.09,431.22,-72.1,move_backward,s
31,45,-86.94,-449.22,197.88,move_left,a
16,97,-450.78,-460.79,159.77,move_right,d
81,50,-316.61,232.54,456.36,move_left,a
30,31,-142.71,-53.56,301.94,move_left,a
50,82,210.25,64.78,-208.72,move_right,d
45,41,30.58,33.43,89.15,move_forward,w
2,10,-294.53,183.79,-235.34,move_left,a
16,63,-94.6,413.66,-456.59,move_left,a
99,43,77.05,-259.48,-76.3,move_right,d
12,53,-240.37,85.96,257.95,attack,left_click
97,100,-372.17,-46.27,-277.12,move_left,a
67,15,297.49,178.64,-233.48,dodge,space
62,21,-64.65,151.43,-190.82,move_forward,w
81,78,180.7,28.96,51.09,move_backward,s
3,29,-32.28,464.72,-452.09,move_backward,s
20,34,-123.29,-297.97,-176.77,move_left,a
51,77,-497.68,-490.05,450.34,move_forward,w
47,70,455.93,-171.61,39.58,attack,left_click
14,46,221.15,-339.99,249.36,attack,left_click
94,32,49.43,-378.21,-494.14,move_right,d
12,90,-37.67,-138.31,33.76,move_forward,w
45,82,238.49,171.86,-372.8,move_forward,w
100,20,94.91,-312.62,412.58,move_backward,s
98,56,-192.58,-442.12,-86.15,attack,left_click
87,32,219.15,-127.02,-357.07,attack,left_click
68,40,374.34,-134.86,251.21,dodge,space
48,76,-266.1,447.28,432.76,attack,left_click
33,79,-264.64,-439.58,158.64,move_left,a
18,25,308.12,-368.0,-203.82,attack,left_click
72,88,-11.95,-401.84,-93.36,move_right,d
22,76,-461.3,-129.4,304.58,move_forward,w
8,81,484.29,75.82,-103.49,move_right,d
73,42,-326.02,71.26,2.81,move_right,d
47,31,356.39,293.84,15.31,dodge,space
61,77,232.46,32.83,-81.97,move_left,a
40,30,233.6,-177.07,23.88,attack,left_click
24,75,311.99,-35.91,409.07,move_right,d
92,81,-172.72,-296.33,-278.59,dodge,space
98,4,-479.64,141.51,29.27,move_forward,w
92,31,185.69,-285.18,-253.86,move_right,d
31,45,-156.74,247.09,111.74,dodge,space
39,84,73.78,293.07,39.79,move_left,a
83,100,382.03,211.67,281.69,attack,left_click
57,70,25.57,-110.01,-269.08,move_forward,w
41,94,219.28,158.06,-145.72,attack,left_click
93,1,495.63,-363.03,-282.12,move_right,d
97,0,295.86,428.34,-372.08,move_forward,w
32,34,-335.9,28.27,-322.91,move_forward,w
16,30,-40.38,-426.89,-193.89,dodge,space
37,5,-479.67,-185.2,497.65,attack,left_click
61,46,21.46,363.33,-9.23,move_right,d
0,60,475.1,232.59,387.15,dodge,space
4,74,-12.12,-470.43,482.32,move_right,d
53,41,181.84,176.54,-407.9,move_backward,s
59,86,19.35,-134.55,-344.45,move_right,d
43,3,-109.51,-394.39,-117.44,move_left,a
84,42,-284.6,331.41,458.65,move_left,a
43,22,159.86,-416.14,463.67,dodge,space
51,94,-488.15,-204.55,263.58,move_left,a
